specification,realizability_status,num_inputs,num_outputs,implementation_latches,implementation_and_gates,implementation_size,result_verification,time_verification
ActionConverter,realizable,5,6,0,4,4,SUCCESS,.09
amba_case_study_2,realizable,7,9,14,47,61,SUCCESS,6.26
amba_case_study_3,realizable,9,10,18,70,88,SUCCESS,33.14
amba_case_study_4,realizable,11,12,21,89,110,SUCCESS,151.86
amba_decomposed_arbiter_10,realizable,11,12,11,66,77,SUCCESS,3.69
amba_decomposed_arbiter_12,realizable,13,14,13,78,91,SUCCESS,9.24
amba_decomposed_arbiter_2,realizable,3,4,2,9,11,SUCCESS,.14
amba_decomposed_arbiter_3,realizable,4,5,4,22,26,SUCCESS,.22
amba_decomposed_arbiter_4,realizable,5,6,5,28,33,SUCCESS,.35
amba_decomposed_arbiter_5,realizable,6,7,6,36,42,SUCCESS,.52
amba_decomposed_arbiter_6,realizable,7,8,7,42,49,SUCCESS,.88
amba_decomposed_arbiter_7,realizable,8,9,8,48,56,SUCCESS,1.39
amba_decomposed_arbiter_8,realizable,9,10,9,54,63,SUCCESS,2.33
amba_decomposed_decode,realizable,2,3,0,2,2,SUCCESS,.06
amba_decomposed_encode_10,realizable,11,4,4,22,26,SUCCESS,.26
amba_decomposed_encode_12,realizable,13,4,4,26,30,SUCCESS,.30
amba_decomposed_encode_2,realizable,3,1,1,3,4,SUCCESS,.10
amba_decomposed_encode_4,realizable,5,2,2,7,9,SUCCESS,.13
amba_decomposed_encode_6,realizable,7,3,3,13,16,SUCCESS,.18
amba_decomposed_encode_8,realizable,9,3,3,17,20,SUCCESS,.20
amba_decomposed_lock_10,realizable,21,1,2,22,24,SUCCESS,.25
amba_decomposed_lock_12,realizable,25,1,2,26,28,SUCCESS,.31
amba_decomposed_lock_2,realizable,5,1,2,6,8,SUCCESS,.11
amba_decomposed_lock_4,realizable,9,1,2,10,12,SUCCESS,.14
amba_decomposed_lock_6,realizable,13,1,2,14,16,SUCCESS,.16
amba_decomposed_lock_8,realizable,17,1,2,18,20,SUCCESS,.22
amba_decomposed_shift,realizable,2,1,1,3,4,SUCCESS,.08
amba_decomposed_tburst4,realizable,4,1,7,20,27,SUCCESS,.49
amba_decomposed_tincr,realizable,5,1,2,6,8,SUCCESS,.14
amba_decomposed_tsingle,realizable,4,1,2,8,10,SUCCESS,.18
Automata16S,realizable,2,21,5,54,59,SUCCESS,22.58
Automata32S,realizable,2,37,6,86,92,SUCCESS,924.96
Automata,realizable,2,13,4,37,41,SUCCESS,2.27
button,realizable,1,4,0,0,0,SUCCESS,.07
Button,realizable,1,4,0,0,0,SUCCESS,.07
Cockpitboard,realizable,6,19,0,7,7,SUCCESS,.09
collector_v1_2,realizable,2,1,2,5,7,SUCCESS,.11
collector_v1_3,realizable,3,1,3,8,11,SUCCESS,.14
collector_v1_4,realizable,4,1,4,11,15,SUCCESS,.25
collector_v1_5,realizable,5,1,5,14,19,SUCCESS,.39
collector_v1_6,realizable,6,1,6,17,23,SUCCESS,.96
collector_v1_7,realizable,7,1,7,20,27,SUCCESS,.83
collector_v2_2,realizable,2,1,1,3,4,SUCCESS,.11
collector_v2_3,realizable,3,1,2,6,8,SUCCESS,.15
collector_v2_4,realizable,4,1,2,8,10,SUCCESS,.40
collector_v2_5,realizable,5,1,5,15,20,SUCCESS,.94
collector_v2_6,realizable,6,1,6,18,24,SUCCESS,1.16
collector_v2_7,realizable,7,1,7,21,28,SUCCESS,2.55
collector_v3_2,realizable,2,1,0,0,0,SUCCESS,.08
collector_v3_3,realizable,3,1,0,0,0,SUCCESS,.09
collector_v3_4,realizable,4,1,0,0,0,SUCCESS,.09
collector_v3_5,realizable,5,1,0,0,0,SUCCESS,.10
collector_v3_6,realizable,6,1,0,0,0,SUCCESS,.11
collector_v3_7,realizable,7,1,0,0,0,SUCCESS,.11
collector_v4_2,realizable,2,1,1,3,4,SUCCESS,.13
collector_v4_3,realizable,3,1,2,6,8,SUCCESS,.17
collector_v4_4,realizable,4,1,2,8,10,SUCCESS,.32
collector_v4_5,realizable,5,1,5,15,20,SUCCESS,.65
collector_v4_6,realizable,6,1,6,18,24,SUCCESS,1.03
collector_v4_7,realizable,7,1,7,21,28,SUCCESS,3.11
detector_10,realizable,10,1,10,30,40,SUCCESS,175.11
detector_12,realizable,12,1,12,36,48,TIMEOUT,10800.00
detector_1,realizable,1,1,0,0,0,SUCCESS,.09
detector_2,realizable,2,1,1,3,4,SUCCESS,.10
detector_3,realizable,3,1,2,6,8,SUCCESS,.13
detector_4,realizable,4,1,2,8,10,SUCCESS,.22
detector_5,realizable,5,1,5,15,20,SUCCESS,.67
detector_6,realizable,6,1,6,18,24,SUCCESS,1.53
detector_7,realizable,7,1,7,21,28,SUCCESS,5.01
detector_8,realizable,8,1,8,24,32,SUCCESS,19.92
EnemeyModule,realizable,2,7,0,2,2,SUCCESS,.09
escalator_bidirectional_init,realizable,7,8,3,40,43,SUCCESS,.37
EscalatorBidirectionalInit,realizable,7,8,3,40,43,SUCCESS,.36
escalator_bidirectional,realizable,7,7,1,30,31,SUCCESS,.16
EscalatorBidirectional,realizable,7,7,1,30,31,SUCCESS,.17
escalator_counting_init,realizable,3,7,2,11,13,SUCCESS,.13
EscalatorCountingInit,realizable,3,7,2,11,13,SUCCESS,.14
escalator_counting,realizable,3,6,1,7,8,SUCCESS,.10
EscalatorCounting,realizable,3,6,1,7,8,SUCCESS,.11
escalator_non-counting,realizable,2,3,0,3,3,SUCCESS,.08
EscalatorNonCounting,realizable,2,3,0,3,3,SUCCESS,.08
escalator_non-reactive,realizable,0,2,0,0,0,SUCCESS,.07
EscalatorNonReactive,realizable,0,2,0,0,0,SUCCESS,.07
escalator_smart,realizable,4,3,3,23,26,SUCCESS,.35
EscalatorSmart,realizable,4,3,3,23,26,SUCCESS,.39
full_arbiter_10,realizable,10,10,20,30,50,TIMEOUT,10800.00
full_arbiter_12,realizable,12,12,24,36,60,TIMEOUT,10800.00
full_arbiter_2,realizable,2,2,2,4,6,SUCCESS,.22
